exp_name,loss,head,pretrained_type,temperature,best_val_loss,save_dir
kl_linear_pt_random,kl,linear,random,False,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/kl_linear_pt_random
kl_linear_pt_random_temp2.0,kl,linear,random,True,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/kl_linear_pt_random_temp2.0
kl_linear_pt_cifar10,kl,linear,cifar10,False,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/kl_linear_pt_cifar10
kl_linear_pt_cifar10_temp2.0,kl,linear,cifar10,True,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/kl_linear_pt_cifar10_temp2.0
kl_linear_pt_imagenet,kl,linear,imagenet,False,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/kl_linear_pt_imagenet
kl_linear_pt_imagenet_temp2.0,kl,linear,imagenet,True,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/kl_linear_pt_imagenet_temp2.0
kl_mlp_pt_random,kl,mlp,random,False,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/kl_mlp_pt_random
kl_mlp_pt_random_temp2.0,kl,mlp,random,True,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/kl_mlp_pt_random_temp2.0
kl_mlp_pt_cifar10,kl,mlp,cifar10,False,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/kl_mlp_pt_cifar10
kl_mlp_pt_cifar10_temp2.0,kl,mlp,cifar10,True,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/kl_mlp_pt_cifar10_temp2.0
kl_mlp_pt_imagenet,kl,mlp,imagenet,False,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/kl_mlp_pt_imagenet
kl_mlp_pt_imagenet_temp2.0,kl,mlp,imagenet,True,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/kl_mlp_pt_imagenet_temp2.0
js_linear_pt_random,js,linear,random,False,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/js_linear_pt_random
js_linear_pt_random_temp2.0,js,linear,random,True,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/js_linear_pt_random_temp2.0
js_linear_pt_cifar10,js,linear,cifar10,False,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/js_linear_pt_cifar10
js_linear_pt_cifar10_temp2.0,js,linear,cifar10,True,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/js_linear_pt_cifar10_temp2.0
js_linear_pt_imagenet,js,linear,imagenet,False,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/js_linear_pt_imagenet
js_linear_pt_imagenet_temp2.0,js,linear,imagenet,True,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/js_linear_pt_imagenet_temp2.0
js_mlp_pt_random,js,mlp,random,False,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/js_mlp_pt_random
js_mlp_pt_random_temp2.0,js,mlp,random,True,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/js_mlp_pt_random_temp2.0
js_mlp_pt_cifar10,js,mlp,cifar10,False,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/js_mlp_pt_cifar10
js_mlp_pt_cifar10_temp2.0,js,mlp,cifar10,True,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/js_mlp_pt_cifar10_temp2.0
js_mlp_pt_imagenet,js,mlp,imagenet,False,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/js_mlp_pt_imagenet
js_mlp_pt_imagenet_temp2.0,js,mlp,imagenet,True,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/js_mlp_pt_imagenet_temp2.0
custom_composite_linear_pt_random,custom,composite,pt,False,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/custom_composite_linear_pt_random
custom_composite_linear_pt_random_temp2.0,custom,composite,pt,True,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/custom_composite_linear_pt_random_temp2.0
custom_composite_linear_pt_cifar10,custom,composite,pt,False,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/custom_composite_linear_pt_cifar10
custom_composite_linear_pt_cifar10_temp2.0,custom,composite,pt,True,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/custom_composite_linear_pt_cifar10_temp2.0
custom_composite_linear_pt_imagenet,custom,composite,pt,False,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/custom_composite_linear_pt_imagenet
custom_composite_linear_pt_imagenet_temp2.0,custom,composite,pt,True,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/custom_composite_linear_pt_imagenet_temp2.0
custom_composite_mlp_pt_random,custom,composite,pt,False,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/custom_composite_mlp_pt_random
custom_composite_mlp_pt_random_temp2.0,custom,composite,pt,True,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/custom_composite_mlp_pt_random_temp2.0
custom_composite_mlp_pt_cifar10,custom,composite,pt,False,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/custom_composite_mlp_pt_cifar10
custom_composite_mlp_pt_cifar10_temp2.0,custom,composite,pt,True,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/custom_composite_mlp_pt_cifar10_temp2.0
custom_composite_mlp_pt_imagenet,custom,composite,pt,False,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/custom_composite_mlp_pt_imagenet
custom_composite_mlp_pt_imagenet_temp2.0,custom,composite,pt,True,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/custom_composite_mlp_pt_imagenet_temp2.0
emd_linear_pt_random,emd,linear,random,False,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/emd_linear_pt_random
emd_linear_pt_random_temp2.0,emd,linear,random,True,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/emd_linear_pt_random_temp2.0
emd_linear_pt_cifar10,emd,linear,cifar10,False,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/emd_linear_pt_cifar10
emd_linear_pt_cifar10_temp2.0,emd,linear,cifar10,True,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/emd_linear_pt_cifar10_temp2.0
emd_linear_pt_imagenet,emd,linear,imagenet,False,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/emd_linear_pt_imagenet
emd_linear_pt_imagenet_temp2.0,emd,linear,imagenet,True,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/emd_linear_pt_imagenet_temp2.0
emd_mlp_pt_random,emd,mlp,random,False,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/emd_mlp_pt_random
emd_mlp_pt_random_temp2.0,emd,mlp,random,True,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/emd_mlp_pt_random_temp2.0
emd_mlp_pt_cifar10,emd,mlp,cifar10,False,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/emd_mlp_pt_cifar10
emd_mlp_pt_cifar10_temp2.0,emd,mlp,cifar10,True,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/emd_mlp_pt_cifar10_temp2.0
emd_mlp_pt_imagenet,emd,mlp,imagenet,False,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/emd_mlp_pt_imagenet
emd_mlp_pt_imagenet_temp2.0,emd,mlp,imagenet,True,999.0,/Volumes/SSD/DNN/project/outputs/checkpoints/emd_mlp_pt_imagenet_temp2.0
